,ETagGantryID,LinkID,LocationType,PositionLon,PositionLat,RoadID,RoadName,RoadClass,RoadDirection,LocationMile,RoadSectionStart,RoadSectionEnd
110,01F0633N,0000100106300H,4,121.195595,24.949282,000010,國道1號,0,N,63K+300,平鎮系統,中壢
111,01F2472N,0000100124700P,4,120.443115,23.639557,000010,國道1號,0,N,247K+200,大林,雲林系統
112,01H0608N,00001B0106020H,4,121.21162,24.965878,00001B,國道1號五股楊梅高架道路,0,N,60K+800,校前路,中壢
113,03F1022N,0000300110200J,4,120.97227,24.757914,000030,國道3號,0,N,102K+200,茄苳,新竹系統
114,03F3588S,0000300035900D,4,120.340164,22.969757,000030,國道3號,0,S,358K+800,關廟,關廟服務區
115,03F0447N,0000300104400F,4,121.41268,24.950502,000030,國道3號,0,N,44K+700,樹林,土城
116,01F0928S,0000100009240O,4,121.01031,24.808453,000010,國道1號,0,S,92K+800,竹北,新竹(新竹、竹東)
117,01F0928N,0000100109240O,4,121.01031,24.808453,000010,國道1號,0,N,92K+800,新竹(新竹、竹東),竹北
118,03F0217N,0000300102160A,4,121.59337,24.993744,000030,國道3號,0,N,21K+700,新店,木柵
119,03F0338N,0000300103320F,4,121.50175,24.978586,000030,國道3號,0,N,33K+800,中和,安坑
120,01F1045S,0000100010400J,4,120.9519,24.72713,000010,國道1號,0,S,104K+500,新竹系統,頭份
121,03F0394N,0000300103900F,4,121.454926,24.975246,000030,國道3號,0,N,39K+400,土城,中和
122,03F0140N,0000300101400F,4,121.62816,25.05032,000030,國道3號,0,N,14K+000,南港,新台五路
123,03F0217S,0000300002110A,4,121.59293,24.993567,000030,國道3號,0,S,21K+700,木柵,新店
124,01F1045N,0000100110400J,4,120.9519,24.72713,000010,國道1號,0,N,104K+500,頭份,新竹系統
125,03F0447S,0000300004400F,4,121.41268,24.950502,000030,國道3號,0,S,44K+700,土城,樹林
126,01F0155N,0000100101550A,4,121.6059,25.064753,000010,國道1號,0,N,15K+500,內湖,東湖
127,01F0511S,0000100005100H,4,121.28173,25.025953,000010,國道1號,0,S,51K+100,桃園(49B),機場系統
128,03F1633N,0000300116300B,4,120.651566,24.34112,000030,國道3號,0,N,163K+300,大甲,苑裡
129,01F0155S,0000100001530A,4,121.6059,25.064753,000010,國道1號,0,S,15K+500,東湖,內湖
130,01F2514N,0000100125100Q,4,120.43542,23.60199,000010,國道1號,0,N,251K+400,民雄,大林
131,01F3561S,0000100035600E,4,120.33376,22.728956,000010,國道1號,0,S,356K+100,楠梓(旗楠路),楠梓(鳳楠路)
132,01F0264S,0000100002610F,4,121.50139,25.077463,000010,國道1號,0,S,26K+400,臺北,三重
133,03F0394S,0000300003900F,4,121.454926,24.975246,000030,國道3號,0,S,39K+400,中和,土城
134,01F0511N,0000100105100H,4,121.28173,25.025953,000010,國道1號,0,N,51K+100,機場系統,桃園(49B)
135,01F2514S,0000100025110Q,4,120.43542,23.60199,000010,國道1號,0,S,251K+400,大林,民雄
136,03F1633S,0000300016300B,4,120.651566,24.34112,000030,國道3號,0,S,163K+300,苑裡,大甲
137,03F0698N,0000300106900H,4,121.20858,24.856558,000030,國道3號,0,N,69K+800,高原,龍潭
138,03F1395S,0000300013900K,4,120.73325,24.531124,000030,國道3號,0,S,139K+500,西湖服務區,通霄
139,03F3259S,0000300032600D,4,120.36738,23.244993,000030,國道3號,0,S,325K+900,柳營,烏山頭
140,03F3211N,0000300132120D,4,120.39025,23.279282,000030,國道3號,0,N,321K+100,柳營,東山服務區
141,01F3019N,0000100130200D,4,120.23642,23.197287,000010,國道1號,0,N,301K+900,麻豆,下營系統
142,03F3259N,0000300132600D,4,120.36738,23.244993,000030,國道3號,0,N,325K+900,烏山頭,柳營
143,03F0783S,0000300007800J,4,121.17913,24.797338,000030,國道3號,0,S,78K+300,關西服務區,關西
144,01F3019S,0000100030200D,4,120.23642,23.197287,000010,國道1號,0,S,301K+900,下營系統,麻豆
145,01H0334S,00001B0003300F,4,121.43328,25.068727,00001B,國道1號五股楊梅高架道路,0,S,33K+400,五股(高架),高公局
146,03F0698S,0000300006900H,4,121.20858,24.856558,000030,國道3號,0,S,69K+800,龍潭,高原
147,03F2231N,0000300122300M,4,120.657616,23.957104,000030,國道3號,0,N,223K+100,中興,中興系統
148,03F0783N,0000300107810J,4,121.17913,24.797338,000030,國道3號,0,N,78K+300,關西,關西服務區
149,01F0413S,0000100004110F,4,121.36356,25.064968,000010,國道1號,0,S,41K+300,林口(文化一路),林口(文化北路)
150,01F2866N,0000100128600D,4,120.298706,23.320993,000010,國道1號,0,N,286K+600,新營,新營服務區
151,03F1860S,0000300018600B,4,120.54824,24.177832,000030,國道3號,0,S,186K+000,龍井,和美
152,01F0413N,0000100104100H,4,121.36356,25.064968,000010,國道1號,0,N,41K+300,林口(文化北路),林口(文化一路)
