VDID,SubAuthorityCode,BiDirectional,PositionLon,PositionLat,RoadName,LocationMile,LinkID,Bearing,RoadDirection,LaneNum,ActualLaneNum
VD-N1-S-34-O-NW-B-高公局,NFB-NR,0,121.426,25.0677,國道1號,34K+000,0000100003400F,SW,S,1,1
VD-N1-S-257.075-N-Loop,NFB-SR,0,120.417,23.556866,國道1號,257K+075,0000100025700Q,S,S,3,3
VD-N1-N-95.910-N-LOOP,NFB-NR,0,121.00362,24.78169,國道1號,95K+910,0000100109550O,N,N,3,3
VD-N1-N-110-I-EN-21X-北上入口2-三灣,NFB-CR,0,120.9207127,24.69174556,國道1號,110K+000,0000101131030K,NW,N,1,1
VD-N8-W-6-I-SW-22X-RS,NFB-SR,0,120.2526,23.0788,國道8號,6K+000,0000801103060D,NW,W,1,1
VD-N3-S-127.696-M-LOOP,NFB-CR,0,120.805435,24.611364,國道3號,127K+696,0000300012700K,SW,S,3,3
VD-N1-N-49-I-EN-22A-桃園,NFB-NR,0,121.298,25.0374,台4線,49K+000,3000400100997H,NW,W,1,1
VD-N1-S-69-O-NW-1-楊梅,NFB-NR,0,121.16511,24.9113,國道1號,69K+000,0000100006860H,S,S,2,2
VD-N1-S-1-O-NW-1-基隆,NFB-NR,0,121.72897,25.11628,國道1號,1K+000,0000101002000C,SW,S,1,1
VD-N3-N-34.420-M-LOOP,NFB-NR,0,121.496,24.9814,國道3號,34K+420,0000300103440F,SE,N,3,3
VD-N3-N-68.020-N-LOOP,NFB-NR,0,121.225365,24.862173,國道3號,68K+020,0000300106770H,E,N,3,3
VD-T88-W-7-I-NW-1-Loop,NFB-SR,0,120.400758,22.587236,台88線,7K+000,1008801103010E,W,W,1,1
VD-N1-S-229-R-NW-2-南下出口-西螺服務區,NFB-CR,0,120.4798316,23.7927522,國道1號,229K+000,0000101049000P,S,S,1,1
VD-N3-N-36.500-M-LOOP,NFB-NR,0,121.47926,24.988026,國道3號,36K+500,0000300103600F,E,N,5,5
VD-N1-N-175.040-M-LOOP,NFB-CR,0,120.64991,24.201874,國道1號,175K+040,0000100117500B,NE,N,4,4
VD-N1-S-188.380-M-LOOP,NFB-CR,0,120.58983,24.11714,國道1號,188K+380,0000100018800B,NW,S,3,3
VD-N10-W-22-I-NW-1-Loop,NFB-SR,0,120.456667,22.797778,國道10號,22K+000,0001001106020E,W,W,1,1
VD-N3-S-33.540-M-RS,NFB-NR,0,121.50454,24.978497,國道3號,33K+540,0000300003310F,W,S,3,3
VD-N3-N-397.608-M-Loop,NFB-SR,0,120.534722,22.7096166,國道3號,397K+608,0000300139800T,NW,N,2,2
VD-N1-N-272.505-N-Loop,NFB-SR,0,120.358795,23.430443,國道1號,272K+505,0000101157130Q,N,N,3,3
VD-N3-N-61.670-M-RS,NFB-NR,0,121.2675,24.897636,國道3號,61K+670,0000300106100H,NE,N,4,4
VD-N3-N-339.974-N-Loop,NFB-SR,0,120.333206,23.128872,國道3號,339K+974,0000300134000D,N,N,3,3
VD-N10-W-13-I-SW-22-LOOP,NFB-SR,0,120.37016,22.756254,國道10號,13K+000,0001001104090E,SW,W,2,2
VD-N1-N-140-O-NE-21-銅鑼科學園區,NFB-CR,0,120.7857471,24.47624297,國道1號,140K+000,0000101134010K,N,N,1,1
VD-N3-S-221.531-M-LOOP,NFB-CR,0,120.64857,23.968195,國道3號,221K+531,0000300022100M,S,S,4,4
VD-N10-W-6.290-N-Loop,NFB-SR,0,120.35946,22.701624,國道10號,6K+290,0001000100600E,S,W,3,3
VD-N1-N-230-I-WN-22-北上入口-西螺,NFB-CR,0,120.4764984,23.77989915,國道1號,230K+000,0000101149060P,NE,N,1,1
VD-N5-N-30-L-頭城-台9-礁溪-1-IMAGE,NFB-PL,0,121.78878,24.837454,台9線,30K+000,3000900107020G,E,N,3,3
VD-N3-S-223-I-ES-南下入口-中興系統,NFB-CR,0,120.655624,23.957441,國道3號,223K+000,0000301044020M,E,S,1,1
VD-N1-N-42.050-M-LOOP,NFB-NR,0,121.35658,25.064837,國道1號,42K+050,0000100104210H,E,N,4,4
VD-N3-S-134-R-NW-1-南下出口,NFB-CR,0,120.7605396,24.56747994,國道3號,134K+000,0000301083000K,S,S,1,1
VD-N1-S-272-I-ES-22-Loop,NFB-SR,0,120.3554259,23.42260644,國道1號,272K+000,0000101057120Q,SE,S,1,1
VD-N2-E-4.900-N-LOOP,NFB-NR,0,121.23825,25.03466,國道2號,4K+900,0000200000430H,E,E,4,4
VD-N5-N-54-L-蘇澳-海山西路-2-IMAGE,NFB-PL,0,121.828156,24.615763,海山西路,54K+000,6309050700013G,NW,NW,2,2
VD-N3-S-6.300-M-LOOP,NFB-NR,0,121.67494,25.099844,國道3號,6K+300,0000300000630C,W,S,3,3
VD-N5-N-46-O-SN-1-LOOP,NFB-PL,0,121.79119,24.688913,國道5號,46K+000,0000500104600G,N,N,1,1
VD-T88-E-15-I-SE-1-Loop,NFB-SR,0,120.4803673,22.56925678,台88線,15K+000,1008801005030T,SE,E,1,1
VD-N2-W-16.390-M-RS,NFB-NR,0,121.309,24.9734,國道2號,16K+390,0000200101600H,W,W,3,3
VD-N3-N-424-O-SE-2-Loop,NFB-SR,0,120.530639,22.4895,國道3號,424K+000,0000301172020T,N,N,1,1
VD-N3-N-69.510-M-LOOP,NFB-NR,0,121.211205,24.857555,國道3號,69K+510,0000300106900H,NE,N,3,3
VD-N1-N-230-R-EN-2-北上出口-西螺,NFB-CR,0,120.4763742,23.77914932,國道1號,230K+000,0000101149030P,NE,N,1,1
VD-N3-N-150.358-M-RS,NFB-CR,0,120.678535,24.451721,國道3號,150K+358,0000300115000K,N,N,3,3
VD-N8-W-0.000-M-Loop,NFB-SR,0,120.194444,23.079166,台17甲線,0K+000,3001710000000D,SW,S,2,2
VD-N3-N-228-O-SW-1-北上出口-南投,NFB-CR,0,120.6858566,23.92135767,國道3號,228K+000,0000301146010M,NW,N,1,1
VD-N3-N-49.510-M-RS,NFB-NR,0,121.36762,24.94568,國道3號,49K+510,0000300104900F,NE,N,4,4
VD-N3-S-339.144-M-Loop,NFB-SR,0,120.333611,23.1325,國道3號,339K+144,0000300033900D,S,S,3,3
VD-N1-N-264-O-SE-21-Loop,NFB-SR,0,120.3938312,23.49345055,國道1號,264K+000,0000101155030I,E,N,1,1
VD-N1-S-24.400-M-RS,NFB-NR,0,121.520874,25.076746,國道1號,24K+400,0000100002400A,W,S,4,4
VD-N3-N-14.100-M-RS,NFB-NR,0,121.62837,25.050375,國道3號,14K+100,0000300101400F,NE,N,4,4
VD-N1-S-206.780-M-LOOP,NFB-CR,0,120.50934,23.992516,國道1號,206K+780,0000100020600N,S,S,4,4
VD-N4-W-18.358-M-LOOP,NFB-CR,0,120.754845,24.265081,國道4號,18K+358,0000400101828B,N,W,2,2
VD-N1-N-335-R-EN-1-Loop,NFB-SR,0,120.2652118,22.9076757,國道1號,335K+000,0000101185010D,NW,N,1,1
VD-N1-N-163.209-M-后里北地磅,NFB-CR,0,120.69552,24.291746,國道1號,163K+209,0000100116300B,N,N,1,1
VD-T88-E-4.239-M-Loop,NFB-SR,0,120.3762,22.589205,台88線,4K+239,1008800000300E,E,E,2,2
VD-N1-N-6-O-SE-1-五堵,NFB-NR,0,121.68558,25.085268,國道1號,6K+000,0000101105020C,S,N,1,1
VD-N3-S-156.535-N-LOOP,NFB-CR,0,120.6697,24.399364,國道3號,156K+535,0000300015620K,S,S,3,3
VD-N3-S-428.588-M-Loop,NFB-SR,0,120.5197971,22.45687955,國道3號,428K+588,0000300042900T,SW,S,2,2
VD-N1-S-1.950-M-RS,NFB-NR,0,121.7252,25.10801,國道1號,1K+950,0000100000130C,S,S,2,2
VD-N1-S-28.840-M-RS,NFB-NR,0,121.478,25.0738,國道1號,28K+840,0000100002800F,W,S,4,4
VD-N1-N-151.990-M-RS,NFB-CR,0,120.75057,24.378008,國道1號,151K+990,0000100115100K,NE,N,4,4
VD-N6-W-28.458-M-OH,NFB-CR,0,120.912155,23.978598,國道6號,28K+458,0000600102800M,W,W,2,2
VD-N1-N-233.200-M-RS,NFB-CR,0,120.48506,23.814678,國道1號,233K+200,0000100122670N,N,N,3,3
VD-N3-S-41.010-M-LOOP,NFB-NR,0,121.44282,24.96822,國道3號,41K+010,0000300004000F,SW,S,4,4
VD-N3-S-100-I-ES-新竹系統-1N3S,NFB-NR,0,120.99073,24.75933,國道3號,100K+000,0000301023050J,W,S,1,1
VD-N1-S-150-I-WS-21-南下入口-三義,NFB-CR,0,120.7575711,24.39301019,國道1號,150K+000,0000101035040K,S,S,1,1
VD-N5-S-4-O-NS-1-LOOP,NFB-PL,0,121.6467008,25.00851504,國道5號,4K+000,0000501002010F,S,S,1,1
VD-N6-W-16.161-M-RS,NFB-CR,0,120.80547,24.000614,國道6號,16K+161,0000600101600M,SW,W,2,2
VD-N5-N-39.686-M-IMAGE,NFB-PL,0,121.7812,24.747795,國道5號,39K+686,0000500103900G,N,N,2,2
VD-N3-N-260.450-N-LOOP,NFB-CR,0,120.59509,23.733269,國道3號,260K+450,0000300126000P,NW,N,3,3
VD-N3-S-266.885-M-LOOP,NFB-CR,0,120.58964,23.679237,國道3號,266K+885,0000300026700P,SW,S,3,3
VD-N3-N-396-I-N-1-Loop,NFB-SR,0,120.523771,22.721928,187丙,396K+000,4018730000449T,SE,S,1,1
